iata,name,city,country,latitude,longitude
ATW,Outagamie County Airport,ATW,US,44.25526133080299,-88.51624636013045
ATX,Atbasar Airport,ATX,KZ,51.88132804856772,68.40543053775573
ATY,Watertown Airport,ATY,US,44.90843232113131,-97.15072562205044
ATZ,Asyut Airport,ATZ,EG,27.03214874421941,31.002747737064798
AUA,Reina Beatrix Airport,AUA,AW,12.501938983203612,-70.0097122001975
AUB,Itauba Airport,AUB,BR,-5.769684907491912,-63.34621379687891
AUC,Arauca Airport,AUC,CO,7.070299347642671,-70.7373664034248
AUD,Augustus Downs Airport,AUD,AU,-18.512266396193883,139.8819190320243
AUE,Abu Rudeis Airport,AUE,EG,28.89999203880633,33.185717176935896
AUF,Aeroport Branches,AUF,FR,47.84770519270333,3.5007720510681923
AUG,Augusta Airport,AUG,US,44.31255637265564,-69.791986260025
AUH,Abu Dhabi International Airport,AUH,AE,24.430920717691535,54.65444290820084
AUI,Aua Island Airport,AUI,PG,-1.4610423502628425,143.07902129948056
AUJ,Ambunti Airport,AUJ,PG,-4.251346661602771,142.8555648305944
AUK,Alakanuk Airport,AUK,US,62.687312277836945,-164.6107691862172
AUL,Aur Island Airport,AUL,MH,8.130271282295073,171.17113856325778
AUM,Austin Airport,AUM,US,43.665112495946374,-92.97959056762619
AUN,Auburn Airport,AUN,US,38.898104908141036,-121.06597730268977
AAA,Anaa Airport,AAA,PF,-17.05122404593104,-145.41095716514963
AAB,Arrabury Airport,AAB,AU,-26.70556324905525,141.04501828540742
AAC,El Arish International Airport,AAC,EG,31.128795463102797,33.75294389693794
AAD,Ad-Dabbah Airport,AAD,SD,18.04817041001715,30.951179808831203
AAE,Rabah Bitat Airport,AAE,DZ,36.81826790964255,7.815144283237256
AAF,Apalachicola Municipal Airport,AAF,US,29.73077868340625,-84.98109754008276
AAG,Arapoti Airport,AAG,BR,-24.104335222527375,-49.784302879022896
AAH,Merzbrueck Airport,AAH,DE,50.82135782146261,6.187944347922336
AAI,Arraias Airport,AAI,BR,-12.920198423634037,-46.930974277777146
AAJ,Cayana Airstrip,AAJ,SR,3.8961132186254623,-55.3649123554764
AAK,Aranuka Airport,AAK,KI,0.16615775847484895,173.5890255294423
AAL,Aalborg Airport,AAL,DK,57.089514630337106,9.85487441092943
AAM,Mala Mala Airport,AAM,ZA,-24.80334361237565,31.53559811497417
AAN,Al Ain International Airport,AAN,AE,24.247574534706295,55.75452342120685
AAO,Anaco Airport,AAO,VE,9.43088529555901,-64.46348248093125
AAP,Andrau Airpark,HOU,US,29.8281840111598,-95.66103404331399
AAQ,Vityazevo Airport,AAQ,RU,44.896971263704025,37.31674194545925
AAR,Tirstrup Airport,AAR,DK,56.298831441448925,10.622637192510345
AAS,Apalapsili Airport,AAS,ID,-3.919031491498617,139.25165649617222
AAT,Altay Airport,AAT,CN,43.92867583563883,89.50174020452573
AAU,Asau Airport,AAU,WS,-13.458778476483406,-172.59780115633336
AAV,Alah Airport,AAV,PH,6.331183660101259,124.76728413467636
AAW,Abbottabad Airport,AAW,PK,34.199850004521046,73.2526518671737
AAX,Araxa Airport,AAX,BR,-19.572238330846282,-46.925243749063505
AAY,Al Ghaydah Airport,AAY,YE,16.197516994023854,52.1849948439719
AAZ,Quetzaltenango Airport,AAZ,GT,14.862525784893597,-91.501360046317
ABA,Abakan Airport,ABA,RU,53.71479329351468,91.501360046317
ABC,Los Llanos Airport,ABC,ES,38.94394230766099,-1.862112765873284
ABD,Abadan Airport,ABD,IR,30.361034389069175,48.23731625843378
ABE,Lehigh Valley International Airport,ABE,US,40.65135641147536,-75.4356213070448
ABF,Abaiang Airport,ABF,KI,1.6673072330080576,173.30827743379808
ABG,Abingdon Airport,ABG,AU,-17.670018694166686,143.20506561042396
ABH,Alpha Airport,ABH,AU,-23.65169858623063,146.63708540419364
ABI,Regional Airport,ABI,US,32.4064916303804,-99.67746531303746
ABJ,Felix Houphouet Boigny Airport,ABJ,CI,5.254023127515698,-3.9247607395517883
ABK,Kabri Dehar Airport,ABK,ET,6.7322540757117,44.26671897313568
ABL,Ambler Airport,ABL,US,67.08189697095817,-157.8441417566206
ABM,Bamaga Airport,ABM,AU,-10.86900979983552,142.40292819429766
ABN,Albina Airport,ABN,SR,5.494665206127233,-54.08148565948515
ABO,Aboisso Airport,ABO,CI,5.431640062447763,-3.2142932132669357
ABP,Atkamba Airport,ABP,PG,-6.067622881729745,141.1023099121655
ABQ,Albuquerque International Airport,ABQ,US,35.04209770654824,-106.6045270560485
ABR,Aberdeen Municipal Airport,ABR,US,45.447013227754326,-98.42269126061441
ABS,Abu Simbel Airport,ABS,EG,22.368271890239384,31.615811856586802
ABT,Al-Aqiq Airport,ABT,SA,20.282706070574548,41.636843425681484
ABU,Atambua Airport,ABU,ID,-9.13867699626117,124.88760474709531
ABV,Abuja International Airport,ABV,NG,8.995437684082248,7.270834555447893
ABW,Abau Airport,ABW,PG,-10.187189581033582,148.7054715905486
ABX,Albury Airport,ABX,AU,-36.073422120274316,146.9808624854987
ABY,Dougherty County Airport,ABY,US,31.529867586260533,-84.19042118138374
ABZ,Dyce Airport,ABZ,GB,57.204104714042415,-2.194428362864261
ACA,Alvarez International Airport,ACA,MX,16.753286071693207,-99.76340958336372
ACB,Antrim County Airport,ACB,US,44.9829155340303,-85.21601506639618
ACC,Kotoka International Airport,ACC,GH,5.592067972559846,-0.16615775847484895
ACD,Acandi Airport,ACD,CO,8.514152673085531,-77.29773578046537
ACE,Lanzarote Airport,ACE,ES,28.934368380899006,-13.602017788662328
ACH,Sankt Gallenaltenrhein,ACH,CH,47.48101282673286,9.562665257857944
ACI,Alderney Airport,ACI,GG,49.704089137410264,-2.211617174240833
ACJ,Anuradhapura Airport,ACJ,LK,8.34799466114663,80.38597849292997
ACK,Nantucket Memorial Airport,ACK,US,41.252962888664676,-70.05554959971745
ACL,Aguaclara Airport,ACL,CO,4.749820270532648,-72.99482588638406
ACM,Arica Airport,ACM,CO,-2.0053522914956177,-71.83171980281176
ACN,Ciudad Acuna International Airport,ACN,MX,29.295333633250426,-100.91505460950874
ACP,Sahand Airport,ACP,IR,37.35111828755193,46.15174873122165
ACR,Araracuara Airport,ACR,CO,-0.3838817109555753,-72.29581749653579
ACS,Achinsk Airport,ACS,RU,56.26445509935625,90.56744096034448
ACT,Waco Municipal Airport,ACT,US,31.60435079915952,-97.22520883494944
ACU,Achutupo Airport,ACU,PA,9.574124607737932,-79.72134644517436
ACV,Arcata Airport,ACV,US,40.97794190663952,-124.10265208692076
ACX,Xingyi Airport,ACX,CN,25.084091708019855,104.96013852280042
ACY,Atlantic City International Airport,AIY,US,39.44814345709675,-74.5819159626849
ACZ,Zabol Airport,ACZ,IR,31.082961478677426,61.535667251691926
ADA,Sakirpasa Airport,ADA,TR,36.978695392867806,35.28274234648072
ADB,Adnan Menderes Airport,IZM,TR,38.279310259905394,27.152469356638353
ADC,Andakombe Airport,ADC,PG,-7.139054166262135,145.73754949050294
ADD,Bole International Airport,ADD,ET,8.97251898432227,38.80070299548207
ADE,Aden International Airport,ADE,YE,12.822795657201423,45.03448346226389
ADF,Adiyaman Airport,ADF,TR,37.74645988199602,38.26785261757269
ADG,Lenawee County Airport,ADG,US,41.89467282156571,-84.02998686796931
ADH,Aldan Airport,ADH,RU,58.59639096502532,125.40327036905293
ADI,Arandis Airport,ADI,NA,-22.40264993987935,15.000034568358878
ADJ,Marka International Airport,AMM,JO,31.948127880464604,35.98747784994805
ADK,Adak Island Naval Station,ADK,US,51.88132804856772,-176.64288506962504
ADL,Adelaide Airport,ADL,AU,-34.950426322602915,138.53547018056133
ADM,Ardmore Municipal Airport,ADM,US,34.302982445893655,-97.01894395220422
ADN,Andes Airport,ADN,CO,5.666552466119304,-75.92836481414786
ADO,Andamooka Airport,ADO,AU,-31.019935908111133,137.15463815681656
ADP,Ampara Airport,ADP,LK,7.333860126014185,81.62929831811489
ADQ,Kodiak Airport,ADQ,US,57.75414667809271,-152.481254805245
ADR,Andrews Airport,ADR,US,33.44927710153376,-79.56664949066274
ADS,Addison Airport,DFW,US,32.77891452506452,-97.29969204784842
ADT,Ada Airport,ADT,US,34.79572595299671,-96.66371264366103
ADU,Ardabil Airport,ADU,IR,38.244933917812716,48.300341829000075
ADW,Andrews Air Force Base,ADW,US,38.81216063781477,-76.86229073030955
ADX,Leuchars Raf,ADX,GB,56.361857012015214,-2.8647890183427984
ADY,Alldays Airport,ADY,ZA,-22.67194039319086,29.05468899331795
ADZ,San Andres Island Airport,ADZ,CO,12.582153578589887,-81.69805100230023
AEA,Abemama Atoll Airport,AEA,KI,0.4812845307490412,173.85258886913473
AEB,Baise Airport,AEB,CN,23.714722449249628,106.96548889330533
AED,Aleneva Airport,AED,US,58.029164245023274,-152.89952192963824
AEE,Adareil Airport,AEE,SD,10.05540961873465,32.967991236763396
AEG,Aek Godang Airport,AEG,ID,1.3980169931399615,99.41963933224781
AEH,Abeche Airport,AEH,TD,13.848389542213859,20.855663319290237
AEI,Algeciras Railway Station,AEI,ES,36.12499004850792,-5.448828660380923
AEK,Aseki Airport,AEK,PG,-7.368237321880505,146.2875846243641
AEL,Albert Lea Airport,AEL,US,43.64792432490004,-93.3634745197376
AEO,Aioun El Atrouss Airport,AEO,MR,16.70744867217325,-9.63142050336423
AEP,Jorge Newbery Airport,BUE,AR,-34.560815256872466,-58.41304819713467
AER,Sochi International,AER,RU,43.447389970868464,39.93515985058075
AES,Vigra Airport,AES,NO,62.56126113670436,6.107730179422884
AET,Allakaket Airport,AET,US,66.56050765047608,-152.65314334589755
AEU,Abu Musa Airport,AEU,IR,25.886232539240737,55.04405397393129
AEX,Alexandria International Airport,AEX,US,31.329333232228958,-92.54987604618401
AEY,Akureyri Airport,AEY,IS,65.65523437788259,-18.071089109777127
AFA,San Rafael Airport,AFA,AR,-34.589461070251495,-68.39970000904209
AFD,Port Alfred Airport,AFD,ZA,-33.58678588499904,26.888909432040485
AFF,United States Air Force Academy Airport,COS,US,38.829348808861106,-104.69657518310797
AFI,Amalfi Airport,AFI,CO,6.915600685583761,-75.06319841236068
AFK,Kondavattavan Tank Airport,ADP,LK,7.2880235802678754,81.64075937554217
AFL,Alta Floresta Airport,AFL,BR,-10.003843398048346,-55.99516464604474
AFN,Jaffrey Municipal Airport,AFN,US,42.82859532263282,-72.06663049893601
AFO,Afton Municipal Airport,AFO,US,42.731193409973855,-110.93035906498437
AFR,Afore Airport,AFR,PG,-9.13867699626117,148.38460296371974
AFS,Zarafshan Airport,AFS,UZ,41.608194197207865,64.23429548333148
AFT,Afutara Aerodrome,AFT,SB,-9.201702566827464,160.85217072747255
AFW,Fort Worth Alliance Airport,FTW,US,32.98517940780973,-97.31115310527571
AFY,Afyon Airport,AFY,TR,38.73194689620214,30.601675613907062
AFZ,Sabzevar Airport,AFZ,IR,36.16509691931423,57.59944972358109
AGA,Almassira Airport,AGA,MA,30.37822256011551,-9.545477086811607
AGB,Augsburg Airport,MUC,DE,48.42066244141902,10.932034516628168
AGC,Allegheny County Airport,PIT,US,40.35341672969024,-79.92761132791958
AGD,Anggi Airport,AGD,ID,-1.386557856703384,133.87158478884487
