iata,name,city,country,latitude,longitude
NYK,Nanyuki Airport,NYK,KE,0.011459155613133837,37.07037019190772
NYM,Nadym Airport,NYM,RU,65.4776153085164,72.71980148926433
NYN,Nyngan Airport,NYN,AU,-31.569974457066845,147.18713419843309
NYO,Skavsta Airport,STO,SE,58.74536422101247,17.005386646411083
NYU,Nyaung-U Airport,NYU,MM,21.17651999328805,94.93910353861115
NZA,Nzagi Airport,NZA,AO,-8.388102385726592,-21.42862227555322
NZC,Cecil Field Nas,JAX,US,30.332385160595557,-81.64648307406664
NZE,Nzerekore Airport,NZE,GN,7.8036849333572675,-8.697499709844415
NZH,Manzhouli Airport,NZH,CN,49.560849825231344,117.34748571475143
NZO,Nzoia Airport,NZO,KE,0.1317802958042641,34.085259920815744
NZW,South Weymouth Airport,NZW,US,42.16396327487722,-70.93217705893191
NZY,North Island Nas,SAN,US,32.69870078345189,-117.19851928895345
OAG,Springhill Airport,OAG,AU,-33.38052100225383,149.1237250545635
OAI,Bagram Air Field,OAI,AF,34.944695793889274,69.27059693954291
OAJ,Albert J Ellis Airport,OAJ,US,34.83010571018397,-77.60713651967778
OAK,Metropolitan Oakland Intl Airport,OAK,US,37.72354118223604,-122.21189180012115
OAL,Cacoal Airport,OAL,BR,-11.436237373611217,-61.47836879474469
OAM,Oamaru Airport,OAM,NZ,-44.971457891697604,171.08520112312067
OAN,Olanchito Airport,OAN,HN,15.504237425341927,-86.57392497528642
OAR,Fritzche Aaf,MRY,US,36.612003026897334,-121.91395894852519
OAS,Sharana Afb,OAS,AF,33.1226916063696,68.84088241810073
OAX,Xoxocotlan Airport,OAX,MX,16.999657825244736,-96.73246532784637
OAZ,Camp Bastion,OAZ,AF,31.844995439091996,64.20564966995244
OBA,Oban Airport,OBA,AU,-21.0046331601828,139.00529157280985
OBC,Obock Airport,OBC,DJ,11.98054710140058,43.269774316596866
OBD,Obano Airport,OBD,ID,-3.9018424666786338,136.20352065451394
OBE,Okeechobee County Airport,OBE,US,27.24987297684461,-80.83288460051307
OBF,Oberpfaffenhofen Airport,OBF,DE,48.082619303922165,11.287268386492299
OBI,Obidos Airport,OBI,BR,-1.919408661499582,-55.51388219636896
OBK,Sky Harbor Airport,OBK,US,42.112398761738206,-87.8115142717577
OBL,Oostmalle Airport,OBL,BE,51.262533400332075,4.75554951858582
OBM,Morobe Airport,OBM,PG,-7.752118712670963,147.605387662448
OBN,North Connel Airport,OBN,GB,55.99516464604474,-5.494665206127233
OBO,Obihiro Airport,OBO,JP,42.88589036448547,143.16495873961765
OBS,Ardeche Meridionale,OBS,FR,44.66206056757978,4.703983297899516
OBT,Oakland/Coliseum Station,ODM,US,39.396578943957735,-79.41195253615112
OBU,Kobuk/Wien Airport,OBU,US,66.91000843030564,-156.88157685726904
OBX,Obo Airport,OBX,PG,-7.585961554505709,141.32004268252717
OBY,Ittoqqortoormiit Airport,OBY,GL,70.5826694489132,-21.66353467922476
OBZ,Bus Station Hamburg,HAM,DE,53.91532764754625,10.021031569094683
OCA,Ocean Reef Airport,OCA,US,25.324734640405037,-80.27138840922466
OCC,Coca Airport,OCC,EC,-0.4698253943124639,-76.9310434144949
OCE,Ocean City Municipal Airport,OCE,US,38.313686601998064,-75.11476634059427
